dataset,sub_suite_id,sampler,iteration,objective,best_value,AR
gsdtsr,2,Statevector Simulator,2,-0.662189507605671,-0.662189507605671,1.0
gsdtsr,50,Statevector Simulator,2,-0.0708089770362782,-0.0708089770362782,1.0
gsdtsr,52,Statevector Simulator,2,-0.043857370587050776,-0.043857370587050776,1.0
gsdtsr,51,Statevector Simulator,2,-0.05844487677842856,-0.05844487677842856,1.0
gsdtsr,1,Statevector Simulator,2,-1.351060086211676,-1.351060086211676,1.0
gsdtsr,3,Statevector Simulator,2,-0.7991019336855277,-0.7991019336855277,1.0
gsdtsr,61,Statevector Simulator,2,-0.0018143894142178749,-0.0018143894142178749,1.0
gsdtsr,63,Statevector Simulator,2,-0.004444162394521974,-0.004444162394521974,1.0
gsdtsr,66,Statevector Simulator,2,-0.019865803069078234,-0.019865803069078234,1.0
gsdtsr,67,Statevector Simulator,2,-0.01513049115540388,-0.01513049115540388,1.0
gsdtsr,68,Statevector Simulator,2,-0.014052931497541683,-0.014052931497541683,1.0
gsdtsr,69,Statevector Simulator,2,-0.022414693341601708,-0.022414693341601708,1.0
gsdtsr,70,Statevector Simulator,2,-0.01950024528169402,-0.01950024528169402,1.0
gsdtsr,71,Statevector Simulator,2,-0.023184089218076832,-0.023184089218076832,1.0
gsdtsr,72,Statevector Simulator,2,-0.014076323074474779,-0.014076323074474779,1.0
gsdtsr,73,Statevector Simulator,2,-0.021036365128071874,-0.021036365128071874,1.0
gsdtsr,74,Statevector Simulator,2,-0.008457244425938346,-0.008457244425938346,1.0
gsdtsr,75,Statevector Simulator,2,-0.002780906305750447,-0.002780906305750447,1.0
gsdtsr,76,Statevector Simulator,2,-0.0012588330827412425,-0.0012588330827412425,1.0
gsdtsr,77,Statevector Simulator,2,-0.0035062532768891665,-0.0035062532768891665,1.0
gsdtsr,78,Statevector Simulator,2,-0.015090574812235089,-0.015090574812235089,1.0
gsdtsr,79,Statevector Simulator,2,-0.01192558329512684,-0.01192558329512684,1.0
gsdtsr,82,Statevector Simulator,2,-0.00663995670296188,-0.00663995670296188,1.0
gsdtsr,83,Statevector Simulator,2,-0.005289553944205584,-0.005289553944205584,1.0
gsdtsr,84,Statevector Simulator,2,-0.008515245235606057,-0.008515245235606057,1.0
gsdtsr,5,Statevector Simulator,3,-0.29955299381886735,-0.29955299381886735,1.0
gsdtsr,28,Statevector Simulator,3,-0.01741695897372942,-0.01741695897372942,1.0
gsdtsr,14,Statevector Simulator,3,-0.12030659110142422,-0.12030659110142422,1.0
gsdtsr,9,Statevector Simulator,3,-0.11555749457014147,-0.11555749457014147,1.0
gsdtsr,19,Statevector Simulator,3,-0.00010887600022391371,-0.00010887600022391371,1.0
gsdtsr,31,Statevector Simulator,3,-0.012435960192889783,-0.012435960192889783,1.0
gsdtsr,7,Statevector Simulator,3,-0.1475677777253452,-0.1475677777253452,1.0
gsdtsr,4,Statevector Simulator,3,-0.656092812137305,-0.656092812137305,1.0
gsdtsr,11,Statevector Simulator,3,-0.13024117019436954,-0.13024117019436954,1.0
gsdtsr,15,Statevector Simulator,3,-0.041068344340277285,-0.041068344340277285,1.0
gsdtsr,36,Statevector Simulator,3,-0.041420488844810324,-0.041420488844810324,1.0
gsdtsr,8,Statevector Simulator,3,-0.44070177407505484,-0.44070177407505484,1.0
gsdtsr,12,Statevector Simulator,3,-0.17462796800142674,-0.17462796800142674,1.0
gsdtsr,29,Statevector Simulator,3,-0.03744162613626126,-0.03744162613626126,1.0
gsdtsr,49,Statevector Simulator,3,-0.0467020289522204,-0.0467020289522204,1.0
gsdtsr,6,Statevector Simulator,3,-0.2133261913239968,-0.2133261913239968,1.0
gsdtsr,10,Statevector Simulator,3,-0.04210629899754348,-0.04210629899754348,1.0
gsdtsr,16,Statevector Simulator,3,-0.03158054818914993,-0.03158054818914993,1.0
gsdtsr,18,Statevector Simulator,3,-0.016750553178834483,-0.016750553178834483,1.0
gsdtsr,48,Statevector Simulator,3,-0.06035327100538322,-0.06035327100538322,1.0
gsdtsr,22,Statevector Simulator,3,-0.03439881495905195,-0.03439881495905195,1.0
gsdtsr,32,Statevector Simulator,3,-0.014646189075723938,-0.014646189075723938,1.0
gsdtsr,13,Statevector Simulator,3,-0.04658151587163578,-0.04658151587163578,1.0
gsdtsr,2,Statevector Simulator,3,-0.662189507605671,-0.662189507605671,1.0
gsdtsr,50,Statevector Simulator,3,-0.0708089770362782,-0.0708089770362782,1.0
gsdtsr,52,Statevector Simulator,3,-0.043857370587050776,-0.043857370587050776,1.0
gsdtsr,51,Statevector Simulator,3,-0.05844487677842856,-0.05844487677842856,1.0
gsdtsr,1,Statevector Simulator,3,-1.351060086211676,-1.351060086211676,1.0
gsdtsr,3,Statevector Simulator,3,-0.7991019336855277,-0.7991019336855277,1.0
gsdtsr,61,Statevector Simulator,3,-0.0018143894142178749,-0.0018143894142178749,1.0
gsdtsr,63,Statevector Simulator,3,-0.004444162394521974,-0.004444162394521974,1.0
gsdtsr,66,Statevector Simulator,3,-0.019865803069078234,-0.019865803069078234,1.0
gsdtsr,67,Statevector Simulator,3,-0.01513049115540388,-0.01513049115540388,1.0
gsdtsr,68,Statevector Simulator,3,-0.014052931497541683,-0.014052931497541683,1.0
gsdtsr,69,Statevector Simulator,3,-0.022414693341601708,-0.022414693341601708,1.0
gsdtsr,70,Statevector Simulator,3,-0.01950024528169402,-0.01950024528169402,1.0
gsdtsr,71,Statevector Simulator,3,-0.023184089218076832,-0.023184089218076832,1.0
gsdtsr,72,Statevector Simulator,3,-0.014076323074474779,-0.014076323074474779,1.0
gsdtsr,73,Statevector Simulator,3,-0.021036365128071874,-0.021036365128071874,1.0
gsdtsr,74,Statevector Simulator,3,-0.008457244425938346,-0.008457244425938346,1.0
gsdtsr,75,Statevector Simulator,3,-0.002780906305750447,-0.002780906305750447,1.0
gsdtsr,76,Statevector Simulator,3,-0.0012588330827412425,-0.0012588330827412425,1.0
gsdtsr,77,Statevector Simulator,3,-0.0035062532768891665,-0.0035062532768891665,1.0
gsdtsr,78,Statevector Simulator,3,-0.015090574812235089,-0.015090574812235089,1.0
gsdtsr,79,Statevector Simulator,3,-0.01192558329512684,-0.01192558329512684,1.0
gsdtsr,82,Statevector Simulator,3,-0.00663995670296188,-0.00663995670296188,1.0
gsdtsr,83,Statevector Simulator,3,-0.005289553944205584,-0.005289553944205584,1.0
gsdtsr,84,Statevector Simulator,3,-0.008515245235606057,-0.008515245235606057,1.0
gsdtsr,5,Statevector Simulator,4,-0.29955299381886735,-0.29955299381886735,1.0
gsdtsr,28,Statevector Simulator,4,-0.01741695897372942,-0.01741695897372942,1.0
gsdtsr,14,Statevector Simulator,4,-0.12030659110142422,-0.12030659110142422,1.0
gsdtsr,9,Statevector Simulator,4,-0.11555749457014147,-0.11555749457014147,1.0
gsdtsr,19,Statevector Simulator,4,-0.00010887600022391371,-0.00010887600022391371,1.0
gsdtsr,31,Statevector Simulator,4,-0.012435960192889783,-0.012435960192889783,1.0
gsdtsr,7,Statevector Simulator,4,-0.1475677777253452,-0.1475677777253452,1.0
gsdtsr,4,Statevector Simulator,4,-0.656092812137305,-0.656092812137305,1.0
gsdtsr,11,Statevector Simulator,4,-0.13024117019436954,-0.13024117019436954,1.0
gsdtsr,15,Statevector Simulator,4,-0.041068344340277285,-0.041068344340277285,1.0
gsdtsr,36,Statevector Simulator,4,-0.041420488844810324,-0.041420488844810324,1.0
gsdtsr,8,Statevector Simulator,4,-0.44070177407505484,-0.44070177407505484,1.0
gsdtsr,12,Statevector Simulator,4,-0.17462796800142674,-0.17462796800142674,1.0
gsdtsr,29,Statevector Simulator,4,-0.03744162613626126,-0.03744162613626126,1.0
gsdtsr,49,Statevector Simulator,4,-0.0467020289522204,-0.0467020289522204,1.0
gsdtsr,6,Statevector Simulator,4,-0.2133261913239968,-0.2133261913239968,1.0
gsdtsr,10,Statevector Simulator,4,-0.04210629899754348,-0.04210629899754348,1.0
gsdtsr,16,Statevector Simulator,4,-0.03158054818914993,-0.03158054818914993,1.0
gsdtsr,18,Statevector Simulator,4,-0.016750553178834483,-0.016750553178834483,1.0
gsdtsr,48,Statevector Simulator,4,-0.06035327100538322,-0.06035327100538322,1.0
gsdtsr,22,Statevector Simulator,4,-0.03439881495905195,-0.03439881495905195,1.0
gsdtsr,32,Statevector Simulator,4,-0.014646189075723938,-0.014646189075723938,1.0
gsdtsr,13,Statevector Simulator,4,-0.04658151587163578,-0.04658151587163578,1.0
gsdtsr,2,Statevector Simulator,4,-0.662189507605671,-0.662189507605671,1.0
gsdtsr,50,Statevector Simulator,4,-0.0708089770362782,-0.0708089770362782,1.0
gsdtsr,52,Statevector Simulator,4,-0.043857370587050776,-0.043857370587050776,1.0
gsdtsr,51,Statevector Simulator,4,-0.05844487677842856,-0.05844487677842856,1.0
gsdtsr,1,Statevector Simulator,4,-1.351060086211676,-1.351060086211676,1.0
gsdtsr,3,Statevector Simulator,4,-0.7991019336855277,-0.7991019336855277,1.0
gsdtsr,61,Statevector Simulator,4,-0.0018143894142178749,-0.0018143894142178749,1.0
gsdtsr,63,Statevector Simulator,4,-0.004444162394521974,-0.004444162394521974,1.0
gsdtsr,66,Statevector Simulator,4,-0.019865803069078234,-0.019865803069078234,1.0
gsdtsr,67,Statevector Simulator,4,-0.01513049115540388,-0.01513049115540388,1.0
gsdtsr,68,Statevector Simulator,4,-0.014052931497541683,-0.014052931497541683,1.0
gsdtsr,69,Statevector Simulator,4,-0.022414693341601708,-0.022414693341601708,1.0
gsdtsr,70,Statevector Simulator,4,-0.01950024528169402,-0.01950024528169402,1.0
gsdtsr,71,Statevector Simulator,4,-0.023184089218076832,-0.023184089218076832,1.0
gsdtsr,72,Statevector Simulator,4,-0.014076323074474779,-0.014076323074474779,1.0
gsdtsr,73,Statevector Simulator,4,-0.021036365128071874,-0.021036365128071874,1.0
gsdtsr,74,Statevector Simulator,4,-0.008457244425938346,-0.008457244425938346,1.0
gsdtsr,75,Statevector Simulator,4,-0.002780906305750447,-0.002780906305750447,1.0
gsdtsr,76,Statevector Simulator,4,-0.0012588330827412425,-0.0012588330827412425,1.0
gsdtsr,77,Statevector Simulator,4,-0.0035062532768891665,-0.0035062532768891665,1.0
gsdtsr,78,Statevector Simulator,4,-0.015090574812235089,-0.015090574812235089,1.0
gsdtsr,79,Statevector Simulator,4,-0.01192558329512684,-0.01192558329512684,1.0
gsdtsr,82,Statevector Simulator,4,-0.00663995670296188,-0.00663995670296188,1.0
gsdtsr,83,Statevector Simulator,4,-0.005289553944205584,-0.005289553944205584,1.0
gsdtsr,84,Statevector Simulator,4,-0.008515245235606057,-0.008515245235606057,1.0
gsdtsr,5,Sampling Noise Only,0,-0.29955299381886735,-0.29955299381886735,1.0
gsdtsr,28,Sampling Noise Only,0,-0.008515799490323302,-0.01741695897372942,0.48893721936004825
gsdtsr,14,Sampling Noise Only,0,-0.12030659110142422,-0.12030659110142422,1.0
gsdtsr,9,Sampling Noise Only,0,-0.11555749457014147,-0.11555749457014147,1.0
gsdtsr,19,Sampling Noise Only,0,0.003497428324214677,-0.00010887600022391371,-32.12304196537242
gsdtsr,31,Sampling Noise Only,0,-0.003646128552687237,-0.012435960192889783,0.2931923628037904
gsdtsr,7,Sampling Noise Only,0,-0.1475677777253452,-0.1475677777253452,1.0
gsdtsr,4,Sampling Noise Only,0,-0.656092812137305,-0.656092812137305,1.0
gsdtsr,11,Sampling Noise Only,0,-0.13024117019436954,-0.13024117019436954,1.0
gsdtsr,15,Sampling Noise Only,0,-0.041068344340277285,-0.041068344340277285,1.0
gsdtsr,36,Sampling Noise Only,0,-0.041420488844810324,-0.041420488844810324,1.0
gsdtsr,8,Sampling Noise Only,0,-0.44070177407505484,-0.44070177407505484,1.0
gsdtsr,12,Sampling Noise Only,0,-0.17462796800142674,-0.17462796800142674,1.0
gsdtsr,29,Sampling Noise Only,0,-0.03744162613626126,-0.03744162613626126,1.0
gsdtsr,49,Sampling Noise Only,0,-0.0467020289522204,-0.0467020289522204,1.0
gsdtsr,6,Sampling Noise Only,0,-0.2133261913239968,-0.2133261913239968,1.0
gsdtsr,10,Sampling Noise Only,0,-0.04210629899754348,-0.04210629899754348,1.0
gsdtsr,16,Sampling Noise Only,0,-0.03158054818914993,-0.03158054818914993,1.0
gsdtsr,18,Sampling Noise Only,0,-0.014767318224342766,-0.016750553178834483,0.8816018233357406
gsdtsr,48,Sampling Noise Only,0,-0.06035327100538322,-0.06035327100538322,1.0
gsdtsr,22,Sampling Noise Only,0,-0.03439881495905195,-0.03439881495905195,1.0
gsdtsr,32,Sampling Noise Only,0,-0.008142525571245196,-0.014646189075723938,0.5559484128701735
gsdtsr,13,Sampling Noise Only,0,-0.04658151587163578,-0.04658151587163578,1.0
gsdtsr,2,Sampling Noise Only,0,-0.662189507605671,-0.662189507605671,1.0
gsdtsr,50,Sampling Noise Only,0,-0.0708089770362782,-0.0708089770362782,1.0
gsdtsr,52,Sampling Noise Only,0,-0.043857370587050776,-0.043857370587050776,1.0
gsdtsr,51,Sampling Noise Only,0,-0.05844487677842856,-0.05844487677842856,1.0
gsdtsr,1,Sampling Noise Only,0,-1.351060086211676,-1.351060086211676,1.0
gsdtsr,3,Sampling Noise Only,0,-0.7991019336855277,-0.7991019336855277,1.0
gsdtsr,61,Sampling Noise Only,0,0.003985924588001427,-0.0018143894142178749,-2.1968407425478897
gsdtsr,63,Sampling Noise Only,0,-0.002615747455599724,-0.004444162394521974,0.5885805295558019
gsdtsr,66,Sampling Noise Only,0,-0.011505107114028083,-0.019865803069078234,0.579141304986364
gsdtsr,67,Sampling Noise Only,0,-0.010481575633844994,-0.01513049115540388,0.6927452338585507
gsdtsr,68,Sampling Noise Only,0,-0.009221044154751487,-0.014052931497541683,0.6561651678416386
gsdtsr,69,Sampling Noise Only,0,-0.009155618063881456,-0.022414693341601708,0.4084650155301752
gsdtsr,70,Sampling Noise Only,0,-0.011867680046242824,-0.01950024528169402,0.6085913215350006
gsdtsr,71,Sampling Noise Only,0,-0.014635015038983274,-0.023184089218076832,0.631252532774599
gsdtsr,72,Sampling Noise Only,0,-0.010995838934098655,-0.014076323074474779,0.7811584655965944
gsdtsr,73,Sampling Noise Only,0,-0.008388949917279453,-0.021036365128071874,0.3987832435026934
gsdtsr,74,Sampling Noise Only,0,0.0,-0.008457244425938346,-0.0
gsdtsr,75,Sampling Noise Only,0,-0.002780906305750447,-0.002780906305750447,1.0
gsdtsr,76,Sampling Noise Only,0,-0.00033855979319553724,-0.0012588330827412425,0.26894732735994464
gsdtsr,77,Sampling Noise Only,0,-0.0022415271528889768,-0.0035062532768891665,0.6392941341869388
gsdtsr,78,Sampling Noise Only,0,-0.015090574812235089,-0.015090574812235089,1.0
gsdtsr,79,Sampling Noise Only,0,-0.006145743366857047,-0.01192558329512684,0.5153411128635014
gsdtsr,82,Sampling Noise Only,0,-0.0031797855291713023,-0.00663995670296188,0.47888648547254803
gsdtsr,83,Sampling Noise Only,0,-0.0039633111357305064,-0.005289553944205584,0.749271333185305
gsdtsr,84,Sampling Noise Only,0,-0.004896222042025024,-0.008515245235606057,0.5749948365023857
gsdtsr,5,Sampling Noise Only,1,-0.29955299381886735,-0.29955299381886735,1.0
gsdtsr,28,Sampling Noise Only,1,0.0,-0.01741695897372942,-0.0
gsdtsr,14,Sampling Noise Only,1,-0.12030659110142422,-0.12030659110142422,1.0
gsdtsr,9,Sampling Noise Only,1,-0.11555749457014147,-0.11555749457014147,1.0
gsdtsr,19,Sampling Noise Only,1,0.00826338782240383,-0.00010887600022391371,-75.89723911063409
gsdtsr,31,Sampling Noise Only,1,-0.005027888508774205,-0.012435960192889783,0.40430239650082533
gsdtsr,7,Sampling Noise Only,1,-0.1475677777253452,-0.1475677777253452,1.0
gsdtsr,4,Sampling Noise Only,1,-0.656092812137305,-0.656092812137305,1.0
gsdtsr,11,Sampling Noise Only,1,-0.03428035900778525,-0.13024117019436954,0.2632067798271919
gsdtsr,15,Sampling Noise Only,1,-0.041068344340277285,-0.041068344340277285,1.0
gsdtsr,36,Sampling Noise Only,1,-0.041420488844810324,-0.041420488844810324,1.0
gsdtsr,8,Sampling Noise Only,1,-0.44070177407505484,-0.44070177407505484,1.0
gsdtsr,12,Sampling Noise Only,1,-0.17462796800142674,-0.17462796800142674,1.0
gsdtsr,29,Sampling Noise Only,1,-0.02969898966429589,-0.03744162613626126,0.793207793812491
gsdtsr,49,Sampling Noise Only,1,-0.0467020289522204,-0.0467020289522204,1.0
gsdtsr,6,Sampling Noise Only,1,-0.2133261913239968,-0.2133261913239968,1.0
gsdtsr,10,Sampling Noise Only,1,-0.04210629899754348,-0.04210629899754348,1.0
gsdtsr,16,Sampling Noise Only,1,-0.03158054818914993,-0.03158054818914993,1.0
gsdtsr,18,Sampling Noise Only,1,-0.014767318224342766,-0.016750553178834483,0.8816018233357406
gsdtsr,48,Sampling Noise Only,1,-0.06035327100538322,-0.06035327100538322,1.0
gsdtsr,22,Sampling Noise Only,1,-0.03439881495905195,-0.03439881495905195,1.0
gsdtsr,32,Sampling Noise Only,1,-0.00505525241631963,-0.014646189075723938,0.3451582107934625
gsdtsr,13,Sampling Noise Only,1,-0.04658151587163578,-0.04658151587163578,1.0
gsdtsr,2,Sampling Noise Only,1,-0.662189507605671,-0.662189507605671,1.0
